State,APMC,Commodity,Min Price (Rs.),Modal Price (Rs.),Max Price (Rs.),Arrivals,Traded Quantity,Unit,Date,APMC_Selected,Commodity_Selected
ANDHRA PRADESH,RAVULAPALEM APMC,BANANA BONTHA,"2,400","2,400","2,400",131,131,Qui,17-04-2025,RAVULAPALEM APMC,
ANDHRA PRADESH,RAVULAPALEM APMC,BANANA AMRUTHAPANI,"3,200","3,200","3,200",98,98,Qui,17-04-2025,RAVULAPALEM APMC,
No record Found.,RAYADURG APMC,
No record Found.,SATTENAPALLE APMC,
No record Found.,TADIKONDA APMC,
ANDHRA PRADESH,TENALI,LEMON,"5,500","5,520","8,500",128,129,Qui,17-04-2025,TENALI,
ANDHRA PRADESH,TENALI,LEMON,"6,500","6,520","8,600",98,99,Qui,18-04-2025,TENALI,
No record Found.,VEMURU BHATTIPROLU,
No record Found.,VIZIANAGARAM APMC,
ANDHRA PRADESH,YEMMIGANUR,GROUND NUT,"4,090","5,390","5,870",69,91,Qui,17-04-2025,YEMMIGANUR,
No record Found.,DHING,
No record Found.,GAURIPUR,
No record Found.,KHARUPETIA,
No record Found.,ARA,
No record Found.,BEGUSARAI,
BIHAR,BIHARSHARIF,WHEAT,"2,500","2,500","2,500",648,648,Qui,17-04-2025,BIHARSHARIF,
No record Found.,BUXAR,
No record Found.,CHHAPRA,
No record Found.,DARBHANGA,
No record Found.,DAUDNAGAR,
No record Found.,FORBESGANJ,
No record Found.,GAYA,
No record Found.,GULABBAGH,
No record Found.,HAJIPUR,
No record Found.,KATIHAR,
No record Found.,MOHANIYA,
No record Found.,MOTIHARI,
No record Found.,MUSALLAHPUR,
No record Found.,MUZAFFARPUR,
No record Found.,SAMASTIPUR,
No record Found.,SASARAM,
No record Found.,SINGHESWAR,
No record Found.,SITAMARHI,
No record Found.,CHANDIGARH SECTOR-26,
No record Found.,BALOD,
CHHATTISGARH,BHATAPARA,PADDY COMMON,"1,850","2,300","2,916","1,536","1,466",Qui,17-04-2025,BHATAPARA,
CHHATTISGARH,BHATAPARA,PADDY-VISHNUBHOG,"5,800","6,251","6,330",169,223,Qui,17-04-2025,BHATAPARA,
CHHATTISGARH,BHATAPARA,LAKH/TEORA,"3,825","4,101","4,235",171,179,Qui,17-04-2025,BHATAPARA,
CHHATTISGARH,BHATAPARA,PEAS GREEN,"4,530","4,901","4,902",56,63,Qui,17-04-2025,BHATAPARA,
CHHATTISGARH,BHATAPARA,PADDY-HMT,"2,200","2,200","2,790",55,49,Qui,17-04-2025,BHATAPARA,
CHHATTISGARH,BHATAPARA,PADDY-JAI SRIRAM,"3,100","3,200","3,200",4,20,Qui,17-04-2025,BHATAPARA,
CHHATTISGARH,BHATAPARA,CHANA,"5,000","5,000","5,000",15,15,Qui,17-04-2025,BHATAPARA,
CHHATTISGARH,BHATAPARA,WHEAT,"2,100","2,100","2,152",13,13,Qui,17-04-2025,BHATAPARA,
No record Found.,BILASPUR,
CHHATTISGARH,DHAMTARI,PADDY IR64 NEW,"2,150","2,160","2,160",92,96,Qui,17-04-2025,DHAMTARI,
No record Found.,DURG,
CHHATTISGARH,JAGDALPUR,TAMARIND-FRUIT,"3,500","3,550","3,600",155,409,Qui,17-04-2025,JAGDALPUR,
CHHATTISGARH,JAGDALPUR,TAMARIND FLOWER,"3,200","3,500","3,600",333,333,Qui,18-04-2025,JAGDALPUR,
CHHATTISGARH,KAWARADHA,CHANA GRAM,"4,000","5,655","5,701",265,253,Qui,17-04-2025,KAWARADHA,
CHHATTISGARH,KAWARADHA,WHEAT,"2,370","2,464","2,475",263,230,Qui,17-04-2025,KAWARADHA,
CHHATTISGARH,KAWARADHA,SOYABEANS,"3,931","4,181","4,322",230,208,Qui,17-04-2025,KAWARADHA,
CHHATTISGARH,KAWARADHA,LAKH/TEORA,"3,851","3,851","4,080",84,71,Qui,17-04-2025,KAWARADHA,
CHHATTISGARH,KAWARADHA,TUR/ARHAR,"6,626","6,626","6,626",18,17,Qui,17-04-2025,KAWARADHA,
CHHATTISGARH,KURUD,SWARNA PADDY,"2,030","2,166","2,166",212,196,Qui,17-04-2025,KURUD,
CHHATTISGARH,KURUD,PADDY-IR.64,"2,071","2,071","2,125",13,12,Qui,17-04-2025,KURUD,
CHHATTISGARH,MUNGELI,PADDY-MAHAMAYA,"2,450","2,470","2,530",90,113,Qui,17-04-2025,MUNGELI,
CHHATTISGARH,MUNGELI,WHEAT,"2,390","2,430","2,460",87,71,Qui,17-04-2025,MUNGELI,
CHHATTISGARH,MUNGELI,CHANA (BENGAL GRAM),"5,370","5,720","5,800",50,50,Qui,17-04-2025,MUNGELI,
CHHATTISGARH,NAVAPARA,SWARNA PADDY,"2,150","2,172","2,346",328,333,Qui,17-04-2025,NAVAPARA,
CHHATTISGARH,NAVAPARA,PADDY-MTU 1010,"2,160","2,160","2,172",16,15,Qui,17-04-2025,NAVAPARA,
CHHATTISGARH,NAVAPARA,PADDY-MAHAMAYA,"1,950","1,950","2,774",13,11,Qui,17-04-2025,NAVAPARA,
No record Found.,PATELPALI RAIGARH,
No record Found.,RAIPUR,
CHHATTISGARH,RAJIM,SWARNA PADDY,"1,000","2,192","2,198",88,86,Qui,17-04-2025,RAJIM,
CHHATTISGARH,RAJIM,PADDY SAMBA MASURI,"2,144","2,340","2,340",83,77,Qui,17-04-2025,RAJIM,
CHHATTISGARH,RAJIM,PADDY-MAHAMAYA,"2,000","2,000","2,000",30,30,Qui,17-04-2025,RAJIM,
CHHATTISGARH,RAJIM,PADDY-1008,"2,150","2,207","2,210",6,5,Qui,17-04-2025,RAJIM,
CHHATTISGARH,RAJNANDGAON,WHEAT,"2,401","2,500","5,841",664,679,Qui,17-04-2025,RAJNANDGAON,
CHHATTISGARH,RAJNANDGAON,CHANA GRAM,"2,401","5,850","6,021",569,541,Qui,17-04-2025,RAJNANDGAON,
CHHATTISGARH,RAJNANDGAON,PADDY-SWARNAMASOORI,"1,900","2,150","2,150",358,283,Qui,17-04-2025,RAJNANDGAON,
CHHATTISGARH,RAJNANDGAON,LAKH/TEORA,"3,500","4,075","4,170",297,273,Qui,17-04-2025,RAJNANDGAON,
CHHATTISGARH,RAJNANDGAON,PADDY-MAHAMAYA,"2,175","2,551","2,551","2,324",256,Qui,17-04-2025,RAJNANDGAON,
CHHATTISGARH,RAJNANDGAON,MASOOR,"2,200","5,550","5,900",160,187,Qui,17-04-2025,RAJNANDGAON,
CHHATTISGARH,RAJNANDGAON,SOYABEANS,"3,790","4,100","4,100",83,90,Qui,17-04-2025,RAJNANDGAON,
CHHATTISGARH,RAJNANDGAON,PADDY-MTU 1010,"2,000","2,000","2,250",93,82,Qui,17-04-2025,RAJNANDGAON,
CHHATTISGARH,RAJNANDGAON,PEAS GREEN,"3,200","4,646","4,740",84,59,Qui,17-04-2025,RAJNANDGAON,
CHHATTISGARH,RAJNANDGAON,TUR/ARHAR,"5,001","6,825","6,985",38,34,Qui,17-04-2025,RAJNANDGAON,
CHHATTISGARH,RAJNANDGAON,MAIZE,"2,015","2,115","2,115",18,19,Qui,17-04-2025,RAJNANDGAON,
CHHATTISGARH,KANKER,PADDY LOCAL,"2,200","2,200","2,200",100,100,Qui,17-04-2025,KANKER,
No record Found.,SARAIPALI,
No record Found.,BEMETARA,
No record Found.,KATGHORA,
CHHATTISGARH,AMBIKAPUR,PADDY-MAHAMAYA,"2,306","2,306","2,306",36,36,Qui,17-04-2025,AMBIKAPUR,
No record Found.,JASHPUR,
No record Found.,CANACONA MARKET YARD,
No record Found.,CURCHOREM MARKET YARD,
No record Found.,MAPUSA MARKET YARD,
No record Found.,MARGAO MAIN MARKET YARD,
No record Found.,PONDA MARKET YARD,
No record Found.,SANQUELIM MARKET YARD,
No record Found.,VALPOI MARKET YARD,
GUJARAT,AHMEDABAD,WHEAT,"1,655","2,368","2,425","1,125","1,125",Qui,17-04-2025,AHMEDABAD,
No record Found.,AMRELI,
No record Found.,ANAND,
No record Found.,ANJAR,
GUJARAT,BABRA,COTTON,"7,105","7,155","7,510",7,118,Qui,17-04-2025,BABRA,
GUJARAT,BABRA,COTTON,"7,100","7,565","7,565",5,104,Qui,18-04-2025,BABRA,
GUJARAT,BAGASARA,COTTON,"6,500","7,500","7,500",123,123,Qui,18-04-2025,BAGASARA,
GUJARAT,BAGASARA,COTTON,"6,000","7,265","7,755",58,58,Qui,17-04-2025,BAGASARA,
GUJARAT,BARDOLI APMC,BRINJAL,"2,100","2,100","2,100",7,7,Qui,17-04-2025,BARDOLI APMC,
No record Found.,BAVLA APMC,
GUJARAT,BAYAD APMC,WHEAT,"2,550","2,550","2,550",105,105,Qui,17-04-2025,BAYAD APMC,
GUJARAT,BHABHAR,CASTOR SEED,"6,075","6,101","6,190","1,863","1,863",Qui,18-04-2025,BHABHAR,
GUJARAT,BHABHAR,CASTOR SEED,"6,075","6,130","6,190","1,668","1,668",Qui,17-04-2025,BHABHAR,
GUJARAT,BHARUCH,ONION,"1,200","1,400","1,400",0,356,Qui,18-04-2025,BHARUCH,
GUJARAT,BHARUCH,WATER MELON,920,920,950,0,153,Qui,18-04-2025,BHARUCH,
GUJARAT,BHARUCH,BANANA ANNAN,650,650,700,0,107,Qui,18-04-2025,BHARUCH,
GUJARAT,BHARUCH,MANGO,"2,900","2,900","3,100",0,25,Qui,18-04-2025,BHARUCH,
GUJARAT,BHARUCH,CHILLIES,"2,500","2,500","2,500",0,8,Qui,18-04-2025,BHARUCH,
No record Found.,BHAVNAGAR,
No record Found.,BHESAN,
No record Found.,BHILODA,
No record Found.,BHUJ,
GUJARAT,BILIMORA,BRINJAL,"1,000","1,200","1,200",12,12,Qui,18-04-2025,BILIMORA,
GUJARAT,BILIMORA,TOMATO,"1,250","1,250","1,250",11,11,Qui,18-04-2025,BILIMORA,
GUJARAT,BILIMORA,CAULIFLOWER,"2,500","2,500","3,000",9,9,Qui,18-04-2025,BILIMORA,
GUJARAT,BILIMORA,BOTTLE GOURDE,900,900,900,5,5,Qui,18-04-2025,BILIMORA,
GUJARAT,BILIMORA,BEANS -CLUSTER,"5,000","5,000","5,500",2,2,Qui,18-04-2025,BILIMORA,
GUJARAT,BILIMORA,BHINDI (LADIES FINGER),"2,750","3,250","3,250",2,2,Qui,18-04-2025,BILIMORA,
